序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,上市日期,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,300784,利安科技,58.78,19.64,9.65,49004,280081429.4,20.44,58.96,48.92,48.92,49.13,9.06,34.85,50.23,4.22,2024-06-07,3305646128,826446800,0.0,-0.25,4.11,-1.19
2,301613,新铝时代,73.58,13.76,8.9,77064,587740283.56,6.39,77.62,73.49,77.61,64.68,5.43,33.89,36.58,4.71,2024-10-25,7055892661,1672961383,0.03,0.05,30.6,27.63
3,603205,健尔康,39.77,10.01,3.62,61234,240367880.0,7.72,39.77,36.98,37.62,36.15,2.28,20.83,41.42,3.29,2024-11-07,4772400000,1169193696,0.0,0.0,8.66,3.89
4,001277,速达股份,38.86,7.94,2.86,66239,254405622.46,10.83,39.6,35.7,36.0,36.0,3.87,34.86,21.05,1.97,2024-09-03,2953360000,738340000,-0.15,-0.94,4.24,-2.8
5,301552,科力装备,53.15,7.37,3.65,19842,103536027.66,5.74,53.5,50.66,50.66,49.5,2.59,13.7,23.58,3.26,2024-07-22,3614200000,769789202,0.21,-0.08,-3.38,-9.36
6,688411,海博思创,72.93,6.47,4.43,26309,188537161.0,7.46,73.99,68.88,68.88,68.5,2.52,7.38,20.03,3.32,2025-01-27,12961859694,2599912565,-0.04,0.04,276.32,276.32
7,001279,强邦新材,40.06,5.98,2.26,71691,285495252.64,9.84,41.48,37.76,38.01,37.8,1.67,19.05,69.15,6.67,2024-10-11,6409600000,1507216118,0.12,0.2,-0.15,-2.58
8,301608,博实结,75.74,5.86,4.19,22963,170759489.78,6.55,76.95,72.26,72.57,71.55,2.26,12.9,41.81,3.29,2024-08-01,6740102600,1348376498,-0.26,-0.28,4.04,10.76
9,301606,绿联科技,37.12,5.36,1.89,28554,103811888.74,5.31,37.37,35.5,35.62,35.23,1.38,8.6,35.9,5.61,2024-07-26,15401451999,1232455122,-0.19,1.09,-9.02,-1.8
10,688583,思看科技,104.58,5.32,5.28,11247,116365157.0,6.83,106.58,99.8,99.8,99.3,2.0,8.8,58.64,6.36,2025-01-15,7111440000,1336568689,-0.29,-0.29,13.72,212.55
11,301596,瑞迪智驱,118.54,4.75,5.38,16492,194233148.0,6.02,120.77,113.96,114.68,113.16,2.45,11.97,69.4,7.65,2024-05-13,6533696255,1633424064,0.2,0.15,12.49,18.54
12,301633,港迪技术,77.28,3.76,2.8,7829,60298247.0,4.15,78.2,75.11,75.11,74.48,2.11,5.62,55.61,4.84,2024-11-07,4302950400,1075737600,-0.04,-0.14,-13.05,-7.43
13,301603,乔锋智能,44.71,3.76,1.62,21545,95295301.35,3.71,45.0,43.4,43.4,43.09,2.21,8.92,26.87,2.57,2024-07-10,5399179600,1079835920,0.07,0.2,6.4,4.66
14,301607,富特科技,44.52,3.49,1.5,14905,65592117.47,3.65,44.77,43.2,43.2,43.02,1.04,6.32,44.91,5.02,2024-09-04,4942368701,1050253378,0.16,0.16,22.68,17.37
15,301631,壹连科技,109.78,3.39,3.6,8290,90674674.22,3.97,110.79,106.57,106.57,106.18,1.49,6.36,30.75,3.06,2024-11-22,7168209042,1430246994,0.36,0.42,-11.96,-16.71
16,301585,蓝宇股份,44.59,2.69,1.17,17313,77950008.2,6.4,46.2,43.42,43.42,43.42,0.97,9.13,66.68,3.7,2024-12-20,3567200000,845683015,-0.02,-0.02,3.17,-4.4
17,301458,钧崴电子,31.09,2.61,0.79,38861,120189803.22,3.86,31.63,30.46,30.57,30.3,1.56,6.36,68.22,5.3,2025-01-10,8290667703,1899133987,-0.03,0.29,-22.57,198.94
18,301598,博科测试,59.18,2.53,1.46,8373,49327446.0,2.67,59.45,57.91,57.91,57.72,1.25,5.69,34.18,3.54,2024-12-20,3485537657,871384429,-0.03,0.19,-16.94,-12.91
19,301618,长联科技,82.95,2.53,2.05,19078,156898116.9,4.73,83.84,80.01,80.88,80.9,0.77,11.84,71.46,5.79,2024-09-30,5345289705,1336324500,0.12,0.11,0.35,-1.72
20,301173,毓恬冠佳,49.92,2.23,1.09,15262,75968823.45,2.4,50.36,49.19,49.19,48.83,1.21,9.05,25.73,3.2,2025-03-03,4384711818,841747196,0.06,-0.02,76.21,76.21
21,301622,英思特,67.01,2.2,1.44,22176,148482332.14,3.39,67.98,65.76,65.8,65.57,1.35,8.07,47.39,5.2,2024-12-04,7768595279,1841976509,-0.01,0.01,-2.8,8.08
22,603091,众鑫股份,44.25,2.17,0.94,11678,51635279.0,3.42,44.99,43.51,43.51,43.31,1.24,5.71,13.97,2.26,2024-09-20,4524066590,904813380,-0.02,-0.07,-2.55,-5.43
23,301522,上大股份,33.06,1.91,0.62,30897,102058981.26,2.81,33.44,32.53,32.53,32.44,1.28,4.15,76.09,6.77,2024-10-16,12293912011,2458782422,-0.06,0.15,-5.65,-9.42
24,301628,强达电路,78.4,1.82,1.4,13275,104190488.14,2.7,79.38,77.3,77.68,77.0,1.38,7.04,55.82,5.34,2024-10-31,5909462720,1477369600,0.11,0.11,-19.85,-3.92
25,603194,中力股份,33.83,1.81,0.6,28927,97934253.0,3.28,34.38,33.29,33.36,33.23,0.93,5.81,15.66,2.93,2024-12-24,13565830000,1685695990,-0.06,0.06,-4.35,-5.48
26,603350,安乃达,33.28,1.59,0.52,14381,47725056.0,2.53,33.58,32.75,32.75,32.76,1.35,4.96,34.2,3.05,2024-07-03,3874291200,965120000,0.06,0.18,-2.35,-7.43
27,301600,慧翰股份,176.7,1.58,2.74,14568,255885699.0,4.36,178.68,171.1,178.31,173.96,0.76,8.3,70.64,9.56,2024-09-11,12395505000,3101085000,0.3,0.45,-13.76,-10.12
28,603072,天和磁材,50.91,1.58,0.79,161513,822999954.0,5.79,52.4,49.5,51.0,50.12,0.93,24.95,94.72,6.76,2025-01-03,13454494800,3296199820,0.0,-0.06,34.47,319.01
29,688710,益诺思,32.33,1.57,0.5,11521,37352114.0,2.51,32.9,32.1,32.18,31.83,1.7,4.09,30.84,1.91,2024-09-03,4557870953,911574223,0.15,0.19,-6.34,-8.96
30,301626,苏州天脉,71.01,1.57,1.1,19262,138654610.8,5.55,73.95,70.07,70.07,69.91,2.16,8.76,37.75,5.29,2024-10-24,8214436800,1561673578,-0.07,-0.21,-21.93,-24.09
31,603271,永杰新材,39.31,1.55,0.6,63499,247694192.0,4.34,39.83,38.15,38.43,38.71,1.05,16.46,24.21,2.97,2025-03-11,7733063200,1516201284,0.15,0.46,90.83,90.83
32,301616,浙江华业,44.77,1.47,0.65,48451,219225482.14,4.42,46.18,44.23,44.39,44.12,0.94,24.23,38.54,2.8,2025-03-27,3581600000,895400000,0.02,0.04,114.52,114.52
33,301581,黄山谷捷,50.2,1.37,0.68,14797,74135991.47,2.06,50.47,49.45,49.45,49.52,1.16,7.4,45.05,3.89,2025-01-03,4016000000,1004000000,0.0,0.14,-13.91,82.55
34,301580,爱迪特,50.1,1.33,0.66,10870,54406903.37,2.77,50.67,49.3,49.6,49.44,2.2,5.71,25.74,1.95,2024-06-26,3813488103,953372038,0.0,0.28,-9.27,-13.77
35,603409,汇通控股,35.95,1.3,0.46,18338,65801340.0,1.69,36.2,35.6,35.77,35.49,0.62,5.94,38.98,3.09,2025-03-04,4530778500,1109988497,0.06,0.11,48.68,48.68
36,301592,六九一二,136.8,1.3,1.75,7022,96110180.0,2.48,138.45,135.1,136.75,135.05,1.17,4.01,611.46,11.03,2024-10-24,9576000000,2394000000,0.09,0.29,-0.75,-5.98
37,301275,汉朔科技,55.26,1.28,0.7,40066,223068801.62,5.59,57.56,54.51,54.51,54.56,1.4,12.62,32.87,6.24,2025-03-11,23341824000,1755099266,0.04,0.11,100.95,100.95
38,688726,拉普拉斯,38.92,1.22,0.47,6733,26159327.0,1.95,39.2,38.45,38.45,38.45,0.9,2.0,21.63,4.48,2024-10-29,15775295276,1312826477,0.1,0.18,-11.51,-13.51
39,301586,佳力奇,48.85,1.18,0.57,8837,42826346.39,2.55,49.16,47.93,48.29,48.28,0.81,4.26,38.68,3.3,2024-08-28,4053353322,1013338343,-0.08,0.1,-3.99,-14.04
40,603381,永臻股份,20.67,1.08,0.22,10366,21327048.0,1.52,20.74,20.43,20.46,20.45,0.81,1.94,20.62,1.34,2024-06-26,4904088258,1103420202,-0.05,0.15,-1.81,-5.7
41,688750,金天钛业,18.95,1.07,0.2,31766,60148396.0,1.49,19.06,18.78,18.78,18.75,1.13,4.1,57.77,3.59,2024-11-20,8764375000,1467114799,0.11,0.21,-7.38,-10.44
42,688615,合合信息,228.91,0.97,2.2,10696,246127270.0,2.36,233.0,227.65,228.48,226.71,0.61,5.35,57.15,8.61,2024-09-26,22891000000,4578200000,0.05,-0.15,12.82,13.08
43,301611,珂玛科技,56.31,0.82,0.46,19717,110521290.42,1.81,56.61,55.6,56.0,55.85,1.21,3.29,78.95,16.16,2024-08-16,24551160000,3378600000,0.02,0.12,-6.31,-4.49
44,603285,键邦股份,21.98,0.78,0.17,26105,57232056.0,1.65,22.08,21.72,21.93,21.81,0.78,6.53,20.3,2.24,2024-07-05,3516800000,879200000,0.0,0.09,-1.43,-3.6
45,301602,超研股份,24.08,0.75,0.18,24466,58832457.52,2.43,24.4,23.82,24.0,23.9,1.05,4.47,81.42,8.58,2025-01-22,10314177683,1319016916,0.08,0.21,259.4,259.4
46,301617,博苑股份,47.49,0.61,0.29,10464,49770379.12,1.31,47.88,47.26,47.3,47.2,0.68,4.29,21.41,3.1,2024-12-11,4881972000,1157488302,0.0,0.06,-1.6,-6.74
47,688708,佳驰科技,51.73,0.56,0.29,8862,45789429.0,1.83,52.09,51.15,51.64,51.44,0.98,2.48,40.0,6.7,2024-12-05,20692517300,1847308045,0.0,0.12,-12.31,-15.2
48,603210,泰鸿万立,21.45,0.56,0.12,95845,206634601.0,1.69,21.75,21.39,21.48,21.33,0.74,13.02,41.31,4.34,2025-04-09,7301580000,1578453291,-0.14,0.05,149.42,149.42
49,603391,力聚热能,40.62,0.54,0.22,11336,45914209.0,1.81,40.93,40.2,40.58,40.4,1.53,4.98,12.7,1.73,2024-07-31,3696420000,924105000,-0.1,-0.1,0.37,-3.49
50,001356,富岭股份,15.15,0.53,0.08,160096,243663853.6,2.59,15.49,15.1,15.1,15.07,0.58,13.18,40.56,4.46,2025-01-23,8928198000,1840270879,0.07,0.13,185.85,185.85
51,301557,常友科技,75.19,0.51,0.38,7731,58256686.24,1.82,76.1,74.74,75.5,74.81,0.53,6.98,31.66,3.34,2025-03-04,3331508820,833105200,0.0,0.08,160.35,160.35
52,301571,国科天成,45.12,0.49,0.22,22467,100360541.31,2.9,45.54,44.24,44.8,44.9,0.63,6.26,56.71,4.56,2024-08-21,8095696969,1619139412,0.04,0.16,9.22,6.14
53,301551,无线传媒,47.58,0.42,0.2,13057,62479250.93,2.13,48.2,47.19,47.31,47.38,0.49,3.45,62.08,7.5,2024-09-26,19032475800,1802441785,-0.02,0.0,-8.78,-15.07
54,688449,联芸科技,41.26,0.36,0.15,19467,80460370.0,1.41,41.59,41.01,41.3,41.11,0.73,2.99,-191.37,11.18,2024-11-29,18979600000,2685922726,0.1,0.19,-2.62,1.05
55,688530,欧莱新材,16.29,0.25,0.04,6242,10192337.0,1.35,16.44,16.22,16.41,16.25,0.79,1.95,94.8,3.05,2024-05-09,2607130183,521426056,0.12,0.12,-9.5,-12.04
56,688692,达梦数据,349.6,0.14,0.5,3866,134817733.0,2.45,353.75,345.2,349.25,349.1,0.71,2.54,73.42,8.3,2024-06-12,26569600000,5313920000,0.26,0.32,-5.8,-3.94
57,301629,矽电股份,175.13,-0.03,-0.05,17588,306856917.9,3.07,177.5,172.12,174.5,175.18,0.86,16.86,78.75,6.19,2025-03-24,7307697496,1826924461,-0.03,0.11,234.98,234.98
58,688721,龙图光罩,46.1,-0.07,-0.03,6802,31388521.0,2.19,46.81,45.8,46.15,46.13,0.82,2.55,67.02,5.11,2024-08-06,6154350000,1230870000,0.15,0.37,-14.87,-21.92
59,603310,巍华新材,17.29,-0.29,-0.05,13446,23234464.0,1.44,17.43,17.18,17.43,17.34,0.74,1.95,24.36,1.48,2024-08-14,5970928600,1194254880,0.06,0.06,-0.97,-6.29
60,688605,先锋精科,64.42,-0.31,-0.2,13652,88121970.0,1.28,65.08,64.25,65.0,64.62,1.0,3.59,59.95,8.77,2024-12-12,13037310324,2450867081,0.09,0.08,-18.04,-16.21
61,301535,浙江华远,19.1,-0.31,-0.06,108906,209656278.9,3.24,19.58,18.96,19.05,19.16,0.83,18.18,75.4,7.24,2025-03-27,8123117654,1144109539,0.1,0.21,288.21,288.21
62,301479,弘景光电,117.08,-0.36,-0.42,23593,280868998.94,6.1,123.8,116.63,119.85,117.5,1.28,16.61,45.03,6.29,2025-03-18,7440043772,1662938404,-0.03,0.32,179.43,179.43
63,301658,首航新能,28.51,-0.42,-0.12,67006,193702687.49,4.47,29.6,28.32,28.32,28.63,0.98,17.3,45.41,3.84,2025-04-02,11756701059,1104135537,-0.18,-0.07,141.61,141.61
64,603124,江南新材,43.42,-0.53,-0.23,37380,163552890.0,3.25,44.65,43.23,44.0,43.65,0.98,13.05,35.89,3.75,2025-03-20,6328256541,1243440511,0.02,0.02,311.95,311.95
65,301556,托普云农,86.54,-0.65,-0.57,11092,96306110.4,2.02,87.85,86.09,87.6,87.11,0.81,5.73,359.53,7.77,2024-10-17,7380131200,1674936959,0.19,0.17,0.03,0.14
66,688758,赛分科技,16.37,-0.79,-0.13,12448,20449908.0,1.09,16.52,16.34,16.51,16.5,0.73,3.15,80.06,5.44,2025-01-10,6817517055,646685162,-0.06,0.0,3.15,278.94
67,688545,兴福电子,26.53,-1.01,-0.27,28955,76985867.0,1.53,26.84,26.43,26.83,26.8,1.11,4.23,59.89,3.39,2025-01-22,9550800000,1815270786,0.08,0.19,127.14,127.14
68,301501,恒鑫生活,48.27,-1.49,-0.73,26210,127388244.75,2.37,49.27,48.11,48.67,49.0,0.58,10.84,22.39,2.53,2025-03-19,4923540000,1167380119,0.02,0.0,20.92,20.92
69,001382,新亚电缆,22.77,-1.73,-0.4,111402,254520995.73,2.93,23.28,22.6,23.23,23.17,0.68,18.52,77.48,5.7,2025-03-21,9381240000,1369376256,-0.09,0.04,207.7,207.7
70,301565,中仑新材,20.83,-1.93,-0.41,37007,77606924.79,1.88,21.2,20.8,21.1,21.24,1.04,6.17,54.23,3.54,2024-06-20,8332208300,1250008300,-0.05,-0.05,0.34,-2.66
71,603257,中国瑞林,51.66,-1.97,-1.04,46485,241525074.0,1.95,52.54,51.51,52.01,52.7,0.61,19.05,39.93,2.57,2025-04-08,6199200000,1260512421,0.12,0.02,151.75,151.75
72,001391,国货航,7.28,-2.28,-0.17,1161115,849058097.39,2.55,7.44,7.25,7.37,7.45,1.08,13.84,45.5,3.61,2024-12-30,88880655318,6107511898,0.14,0.28,0.69,-20.96
73,603395,红四方,46.28,-2.79,-1.33,42694,199163045.0,3.11,47.6,46.12,47.31,47.61,0.83,10.58,62.06,6.61,2024-11-26,9256000000,1867377868,-0.17,0.0,-1.32,-12.05
74,301662,C宏工,61.35,-2.88,-1.82,44231,277617404.07,6.82,65.33,61.02,64.55,63.17,0.63,28.04,22.29,3.26,2025-04-17,4908000000,967877539,-0.08,0.15,130.64,130.64
75,688757,胜科纳米,25.05,-3.09,-0.8,36321,91664760.0,3.83,25.99,25.0,25.61,25.85,0.84,11.15,124.45,11.19,2025-03-25,10102952724,815997037,-0.08,0.0,175.88,175.88
76,301601,惠通科技,37.97,-3.09,-1.21,56739,217377932.23,4.85,39.5,37.6,39.18,39.18,0.71,18.93,45.13,4.25,2025-01-15,5334025600,1138040865,-0.08,0.29,-4.33,221.78
77,603207,小方制药,27.49,-3.14,-0.89,39574,109704075.0,2.78,28.22,27.43,28.12,28.38,0.71,9.89,20.48,3.68,2024-08-26,4413793493,1099600000,0.04,0.15,-0.47,-2.14
78,603120,肯特催化,37.84,-4.03,-1.59,82080,308069707.0,3.37,38.38,37.05,38.01,39.43,0.76,37.07,36.59,3.04,2025-04-16,3420736000,837922224,0.5,0.8,152.27,152.27
79,001335,信凯科技,37.56,-5.1,-2.02,69699,263872760.11,3.71,38.77,37.3,38.58,39.58,0.68,30.35,31.73,3.88,2025-04-15,3520857874,862513605,-0.05,-0.03,193.44,193.44
80,301665,泰禾股份,28.18,-5.94,-1.78,118750,339007524.23,4.81,29.5,28.06,29.43,29.96,1.0,33.07,48.54,3.72,2025-04-11,12681000000,1011839224,-0.04,0.0,174.39,174.39
81,301392,汇成真空,111.4,-6.39,-7.6,26909,300187901.42,6.55,117.0,109.2,117.0,119.0,1.06,11.96,129.56,15.18,2024-06-05,11140000000,2506500000,-0.18,0.83,74.8,80.38
82,001395,亚联机械,53.08,-9.47,-5.55,102320,557561608.28,9.77,58.5,52.77,58.39,58.63,1.1,53.04,20.1,4.13,2025-01-27,4630699200,1023934644,-0.23,-0.28,178.2,178.2
